English Title,Year,Country,Rating,Number of Raters,Actors,Synopsis,Number of Episode,URL
Twelve Nights,2018,Korea,7.8,7549,"['Shin Hyun Soo', 'Han Seung Yeon', 'Jang Hyun Sung', 'Lee Gun Woo', 'Kim Bum Jin', 'Hwang So Hee', 'Kim Lee Kyung', 'Cha Soo Yun', 'Ye Soo Jung', 'Lee Ye Eun', 'Hong Jin Ki', 'Yoo Jun Hong', 'Kim Do Wan', 'Seo Eun Woo', 'Show less']","If you meet the same person over and over again over the course of many years, is it just coincidence or fate?

Han Yoo Kyung (Han Seung Yeon) takes a trip to Korea after graduating from college in the United States and ends up fighting with her boyfriend and breaking up. She meets Cha Hyun Oh (Shin Hyun Soo), who took an impulsive trip to Korea after quitting his job in Japan. The two share a walk on the beach and then part ways.

But Yoo Kyung and and Hyun Oh surprisingly keep bumping into each other over the course of three different trips and end up spending 12 nights together. Could this be just coincidence or something much more?

“Twelve Nights” is a 2018 South Korean Viki Original series directed by Jung Heon Soo.",13,https://www.viki.com/tv/36183c
Advance Bravely,2017,China,8.4,11829,"['Gong Jun', 'Jason Xu', 'Meng En', 'Chen Xun', 'Li Qiao Dan', 'Xu He Ni', 'Esther Chen']","As the son of an illustrious family, Xia Yao (Gong Jun) has known nothing but wealth and privilege his entire life. Growing up with all the freedom that his social position afforded, Xia Yao built quite a reputation for himself, though not one that brought his family much honor. A notorious playboy, Xia Yao might have spent his entire life as such, if he hadn’t experienced an unexpected change of heart. 

Determined to make a fresh start, Xia Yao makes every effort to change his ways, but even that can’t hide his many charms. Inadvertently capturing the fancy of Yuan Ru (Li Qiao Dan), Xia Yao soon finds himself the object of her affection. Desperate to win Xia Yao’s heart, Yuan Ru enlists the help of her brother, Yuan Zong (Jason Xu), a former special forces soldier who now runs his own bodyguard training company. Convinced that with her brother’s help, Yuan Ru can win Xia Yao’s heart, the determined young lady does her best. Unfortunately for her, Yuan Ru isn’t the one destined to break down the walls around Xia Yao’s heart.

Brought together by Yuan Ru’s enthusiasm, Xia Yao and Yuan Zong find themselves growing closer over time. With eyes only for Xia Yao, what will Yuan Ru do when she realizes the man she holds in her heart has fallen for her brother instead?

Adapted from the novel of the same name by Chai Ji Dan, “Advance Bravely” is a 2017 Chinese BL drama directed by Yang Long.",30,https://www.viki.com/tv/38983c
Oh! My Assistant,2022,Korea,8.7,24682,"['Song Seung Hyun (FT Island)', 'Ko Chan Bin', 'Lee Do Ha']","Seon Ho (Song Seung Hyun) is a writer who authors web-based comic strips (webtoons). In order to make ends meet, he decided to start creating “19+” titles – erotica intended only for those aged 19 and above. His comics are wildly popular, but they have had a very strange effect on his libido: He cannot feel arousal since he started writing these webtoons some two years ago. As his workload begins to pile up, Seon Ho decides to hire a new assistant. He appoints Mu Young (Ko Chan Bin).

But Mu Young turns out to be no ordinary assistant – he has actually taken the job because he is Seon Ho’s number one fan. He is also besotted with the writer – and hopes to start a relationship with him. The sparks of romance begin to fly between the two. But there is a catch: A male acquaintance named Jun Seok (Lee Do Ha) – who has a girlfriend – begins to take a shine to Mu Young. Could a love triangle be forming? And will Seon Ho rediscover his lost passion?

“Oh! My Assistant” is a 2022 South Korean drama series that was based on a web-based comic of the same name and directed by Ju Seong Min.",8,https://www.viki.com/tv/38959c
I Hate You Juliet,2019,Korea,9.0,9206,"['Lee Hong Ki', 'Jung Hye Sung', 'Choi Woong', 'Moon Su Bin', 'Lee Il Hwa', 'Park Hyun Sook', 'Han Sang Jin', 'Kim Bo Mi', 'Choi Jung Woo', 'Kim Kang Hyun']","After an electric shock, a top celebrity (Lee Hong Ki) is suddenly able to hear a script writer's (Jung Hye Sung) thoughts. Knowing her true thoughts and feelings, he finds himself falling madly in love with her! But when he loses his ability to read her mind, would he still be able to win her heart?

""I Hate You Juliet"" is a Viki Original 2019 drama directed by Kim Jeong Kwon.",18,https://www.viki.com/tv/36477c
The Queen of Attack 2,2021,China,8.7,5284,"['Wang Lu Qian', 'Ryan Cheng', 'Si Cheng Shang', 'Ma Xiao Qian']","After overcoming the obstacles that stood between her and her “happily ever after” with her beloved idol, Jing Qing (Ryan Cheng), Liang Wei Wei (Wang Lu Qian) thought all of her troubles in the world of idol dramas were over. Unfortunately, that just wasn’t the case. Suddenly transported back into the world of a historical drama, Wei Wei finds that though the script this time is different, her fate is still bleak.

No longer playing the part of a doomed queen, Wei Wei finds she’s been transported into the role of a powerful empress. Ruling over an enormous empire, Wei Wei would have found this role fairly enjoyable, if not for the fact that everyone hates her. Realizing her character is the villain of the story, Wei Wei once again refuses to accept her miserable fate; especially after discovering that Jing Qing is now a general plotting a rebellion against her.

Desperate to win the favor of her people and win back Jing Qing’s heart, Wei Wei once again uses her knowledge of dramas to change her fate. Will this second attempt to change her destiny prove as equally successful as the first or will she come to find that perhaps some changes are actually for the better?

A delightful sequel to the 2021 web drama, “The Queen of Attack,” “The Queen of Attack 2” is a 2021 Chinese fantasy romance drama directed by Wu Cheng Feng.",6,https://www.viki.com/tv/38505c
Playful Kiss,2010,Korea,9.3,110089,"['Kim Hyun Joong', 'Jung So Min', 'Lee Si Young', 'Lee Tae Sung', 'Yoon Seung Ah', 'Abigail Alderete', 'Choi Won Hong', 'Kang Nam Gil']","How can a girl at the bottom of her class ever hope to capture the attention of the smartest and most popular boy in high school? Ha Ni (Jung So Min) is smitten with Seung Jo (Kim Hyun Joong) from the moment she laid eyes on him on the first day of school. He is the total package – tall, athletic, good-looking, and the envy of all the students because he always gets a perfect score on all his examinations. But Ha Ni’s affections are not returned, despite her energetic efforts to get his attention. Fate throws them under one roof when an earthquake destroys Ha Ni’s family home, and they live temporarily in the home of her father’s childhood friend, who turns out to be Seung Jo’s father. Will Ha Ni ever be able to get Seung Jo to think of her as anything more than a nuisance? “Playful Kiss” is a 2010 South Korean drama that is based on the Japanese manga “Itazura Na Kiss” (“Mischievous Kiss” and its sequel “Mischievous Kiss 2”), which has also been adapted in Taiwan as “It Started With a Kiss” and its sequel “They Kiss Again”.",16,https://www.viki.com/tv/504c
Precise Shot,2020,China,8.2,9101,"['Wen Yi Fan', 'Xia Zhi Yuan']","Yi You (Wen Yi Fan) is a young air pistol shooting ace. His father Shao Gang (Han Long Xuan) has high hopes for Yi You and desperately wants to help him win a place on the provincial shooting team. There is one big snag, however: Yi You’s nerves always get the better of him whenever it is time to perform at a high level. This means that winning a place on the team appears to be a near impossibility for Yi You. So Shao Gang hatches a secret plan: He offers the best and most cool-headed sharpshooter in the province – a young man named Yi Liang (Xia Zhi Yuan) – money if he will help.

Shao Gang’s plan is to have Yi Liang pretend to be Yi You’s long-lost half-brother. This rouse will allow Yi Liang to live under the same roof as Yi You – and teach him how to keep his cool in a shooting contest. But as the two begin to live together and spend more time in each other’s company, a strong bond forms between them. Will this help or hinder them in their shared bid to win Yi You a place on the team?

“Precise Shot” is a 2020 Chinese drama series that was directed by Li Yong Qin.",5,https://www.viki.com/tv/38748c
Till the End of the Moon,2023,China,9.4,38412,"['Luo Yun Xi', 'Bai Lu', 'Chen Du Ling', 'Deng Wei', 'Wang Yi Fei', 'Yu Bo', 'Li Jia Hao']","In a realm where demons exert their evil will over the mortals and cultivators, none is as powerful – nor as wicked – as the Demon Lord (Luo Yun Xi). But he was not always as evil as he is now. He was once a very different and more ordinary prince, albeit one who was born with the bone of evil. As such, demonic forces planned to suck him in and make him their most powerful weapon.

Some 500 years later, the powers of good hatch a plan. They plan to send a powerful woman back in time to find the prince – named Tan Tai Jin – in the Jin Kingdom. And this woman will take on the identity of his wife...and destroy him before he can transform into the monster he is now. A woman named Li Su Su (Bai Lu) accepts the mission. She goes back in time, taking on the role of the mortal woman Ye Xi Wu, the daughter of a great general – and the prince’s wife. But when she meets the prince, things get complicated. Romance blooms between them as the cycle of death and reincarnation begins to spin. Could love – and not violence – help save the world from evil?

“Till the End of the Moon” is a 2023 Chinese drama series that was directed by Kuk Kok Leung and Wang Hai Qi.",40,https://www.viki.com/tv/39703c
BOYS PLANET,2023,Korea,9.4,11680,"['Park Min Seok', 'Seo Won', 'Sung Han Bin', 'Yoon Jong Woo', 'Xuan Hao', 'Yang Jun', 'Yutaka', 'Zhang Hao', 'Zhang Shuai Bo', 'Cha Woong Ki', 'Anthonny', 'Brian', 'Choi Seung Hun', 'Choi Woo Jin', 'Han Seo Bin', 'Chen Liang', 'Han Yu Jin', 'Chen Ren You', 'Chen Yu Geng', 'Hong Keon Hee', 'Dang Hong Hai', 'Cong', 'Jang Ji Ho', 'Kim Min Hyuk', 'Kim Min Seoung', 'Keita', 'Krystian', 'Kim Tae Rae', 'Kum Jun Hyeon', 'Lin Shi Yuan', 'Ma Jing Xiang', 'Lee Da Eul', 'Lee Dong Gun', 'Min', 'Na Kamden', 'Lee Dong Yeol', 'Lee Hoe Taek', 'Nice', 'Ollie', 'Hwang Min HyunHostLip JHostBaek Koo YoungHostChoi Young Joon (1984)HostLee Seok HoonHostSoljiHostpH-1HostIm Han ByulHostShow less']","A group of male K-pop trainees – including a few established stars – vie for the right to join a brand-new group and compete for chart glory. Trainees are divided into two groups. There will be a K-group for South Korean contestants, while the G-group will be made up of global contestants – with trainees from Japan, China, and elsewhere in the world.

The trainees will be put through their paces in a series of challenges, and – as the show progresses – they will have to compete to stay in the top spots by winning viewer votes. Those who fail to place high enough will be eliminated. But the trainees will not be alone: A group of mentors, including the singer-songwriter Lee Seok Hoon, the EXID member and vocal coach Solji, the NU’EST member and actor Hwang Min Hyun, and the dance star Lip J, are on hand to provide crucial help. As the competition intensifies, who will make the final cut?

“Boys Planet” is a 2023 South Korean audition-style variety TV show that was directed by Kim Shin Young.",13,https://www.viki.com/tv/39288c
Be My Princess,2022,China,9.0,11351,"['Zhou Jie Qiong', 'Jeremy Tsui', 'Wu Jia Yi', 'Hu Yun Hao', 'Yang Yi Tong']","As a world-renowned idol and an award-winning actor, Mu Ting Zhou (Jeremy Tsui) is used to making waves wherever he goes. Naturally, it came as no surprise to him when fans around the globe became positively giddy over the announcement that he will be taking the lead in a new historical drama. What does come as a surprise is who ends up taking the role of his new leading lady.

Working as a part-time interpreter and model, recent graduate Ming Wei (Zhou Jie Qiong) has always had aspirations of becoming an actress but never thought she’d actually get the chance. Nevertheless, after catching the eye of superstar Ting Zhou, she not only gets the chance to audition for his upcoming dramas, but lands the role of leading lady as well. A perfect fit for the role, the chemistry between Ming Wei and Ting Zhou is undeniable. Unfortunately, what should have been a story with a happy ending takes a tragic turn after Ting Zhou is involved in an accident which leaves him with only a single memory: the memory of Ming Wei as a princess who desperately needs his protection.

Unable to leave Ting Zhou in such a sad state, Ming Wei agrees to play along in the hopes that by doing so, she can help the confused star regain the memories he’s lost. Taking Ting Zhou under her wing, Ming Wei does her best to help but begins to doubt herself once she realizes her feelings for Ting Zhou are deepening. Will she be able to help this amnesiac actor before she loses her heart completely? 

Adapted from the novel “Movie King’s Princess” by Xiao Jia Ren, “Be My Princess” is a 2022 Chinese romance drama directed by Tien Jen Huang.",30,https://www.viki.com/tv/38653c
Uncontrollably Fond,2016,Korea,9.3,145512,"['Kim Woo Bin', 'Suzy', 'Im Joo Eun', 'Im Joo Hwan', 'Choi Moo Sung', 'Jin Kyung', 'Kim Min Young', 'Jung Dong Hwan', 'Jung Sun Kyung', 'Yoo Oh Sung', 'Lee Elijah', 'Lee Young E', 'Park Soo Young', 'Hwang Jung Min (1969)', 'Show less']","Sin Joon Young (Kim Woo Bin) and No Eul (Bae Suzy) were classmates very much in love and inseparable in their teenage years. However, people drift apart, and uncontrollable circumstances led to them going their separate ways.
 
Years later, they meet again as adults. Sin Joon Young is now a successful actor-singer superstar while No Eul has become a producer and director of documentaries.
 
No Eul had a rough childhood. Her father died in a hit-and-run accident and she had to quit school to support herself and her brother. In contrast, Joon Young had his life planned for him. His mother wants him to become a lawyer to follow the footsteps of his estranged father, but he decided to quit law school and become a singer-actor.
 
The two are reunited when No Eul persuades a producer that wanted to film Joon Young’s documentary to give the job to her. Joon Young, dead-set against filming his documentary, initially gives No Eul a miserable time. Gradually, he relents and agrees to do the documentary, using the time to try and win her heart back. Over time, he realises No Eul is different. Now, she is materialistic and values money over justice, doing anything to get ahead.
 
Will No Eul and Joon Young finally get together after all these years, or is their relationship too far gone?",20,https://www.viki.com/tv/28954c
Doctor Stranger,2014,Korea,9.2,63105,"['Lee Jong Suk', 'Kang Sora', 'Park Hae Jin', 'Jin Se Yeon', 'Bora', 'Kang Tae Hwan', 'Lee Jae Won', 'Chun Ho Jin', 'Kang Ye Won', 'Won Jong Rye', 'Goo Seung Hyun', 'Kim Sang Ho', 'Uhm Soo Jung', 'Choi Jung Woo', 'Park Hae Joon', 'Jeon Gook Hwan', 'Sung Byung Sook', 'Hwang Bum Shik', 'Nam Myung Ryul', 'Kim Yong Gun', 'Jung In Ki', 'Park Hee BonCameoKim Sang JoongCameoLee Il HwaCameoLee Seung HyungCameoKim Bo MiCameoShow less']","This drama depicts a stranger man's long and arduous journey to find his woman. The ideological conflict between the North and South Korea and revenge against those in power are just side stories. What penetrates here is a man's sublime and fierce love for a woman. It will give you a different impression and thrill from other medical dramas you have seen. It deals with the stories of doctors in a specific space called Myungwoo University Hospital, but in the end, it contains the joys and sorrows of life. So in that way, Doctor Stranger is a drama about our lives.",20,https://www.viki.com/tv/22343c
Sweet Games,2023,China,9.1,7373,"['He Hong Shan', 'Winwin (NCT)', 'Leng Ji Yuan', 'Tan Xiao Fan', 'Jin Zi Xuan', 'Chen Kang', 'Hu Bao Sen', 'Liu Yi Yue']","Nine years ago, An Ran (He Hong Shan) was a senior at university. She was beautiful and popular, and her college junior Yan Yue (Winwin of NCT) was just one of the many young men who had a crush on her. Now, almost a decade later, An Ran has become a career-driven entrepreneur. She dreams of rising to the top of the business world. But when she tries to pull over a stunt aimed at wooing potential investors, her bluff is exposed and she loses her chance. Distraught, she gets drunk and stumbles into a “romantic” evening with her landlord – unaware that he is actually her college junior...and that he has had feelings for her for years!

In fact, Yan Yue is also secretly a very successful voice actor who keeps his identity a secret. And as destiny would have it, he is also a partner on a new project An Ran is about to start work on. All this means that Yan Yue and An Ran have no choice other than to spend more time together. Yan Yue is delighted about all of this: He has never stopped liking An Ran. But could she also feel the same way about him? As the bond between them deepens, fate appears keen to bring them together…

“Sweet Games” is a 2023 Chinese drama series that was produced by Fang Fang, Su Han, Zhang Zhi Wei, and Xia Wen Yang.",24,https://www.viki.com/tv/40094c
Be My Boyfriend,2021,Korea,9.4,113831,"['Lee Si Woo', 'Shin Hyun Seung', 'Kim Byeong Kwan', 'Yu Ju (Cherry Bullet)', 'Jung Bo Min']","At Hwayang High School, no student’s popularity eclipses that of the third-year senior Oh Ji Na (Lee Shi Woo).

Fabulously talented and impeccably fashionable Oh Ji Na has already landed a contract with a talent agency, and is training to become a member of a “girl crush”-themed all-female K-pop group.

Lee Seung Min (Shin Hyun Seung) is a junior student at the same school. And like many others, he is smitten with the many charms of Oh Ji Na. With his lack of charisma, however, he is sure that he does not stand a chance at winning her heart.

But he is in for a surprise when Oh Ji Na comes up with a plan to begin a bogus “contract” relationship with him, in order to further her career.

Spending time together softens her heart, though – could she end up falling for this unassuming younger student for real?

This drama is a spin-off of the 2019 series “Best Mistake.”

“Be My Boyfriend” is a 2021 South Korean drama series that was produced by Kim Hyun Ki and Kwon Jun Seok.",15,https://www.viki.com/tv/37455c
High-End Crush,2015,Korea,9.1,66784,"['Jung Il Woo', 'Jin Se Yeon', 'Lee Si Eon', 'Bora', 'Moon Se Yoon', 'Jung Sang Hoon', 'Tae Hang Ho', 'MONSTA X', 'Jo Hyun Sik', 'Wonho']","Choi Se Hoon (Jung Il Woo) is the head of G.Choi, a chart-topping K-pop entertainment agency with a top-billing roster of star acts.

Many think he is blessed with the Midas touch, and he too believes he can make a star out of just about anyone he chooses to. He is rich and successful – but also aloof, arrogant, and conceited.

One day, he meets a very unusual individual, Lee Yi Ryung (Jin Se Yeon), an innocent and naïve young woman from a humble and conservative countryside family. In almost every way, she is his polar opposite: shy, not brash, and humble, not self-important.

He decides to recruit her to become G.Choi’s latest star, but is shocked to discover that she expresses no interest in becoming a K-pop singer.

Things get even more complicated when he starts to fall for her – and discovers that winning this young woman’s heart is much harder than manufacturing K-pop success! Can Choi Se Hoo change his ways – and win her heart?

“High-End Crush” is a 2015 South Korean-Chinese drama series directed by Ji Young Soo.",20,https://www.viki.com/tv/37007c
Where Your Eyes Linger,2020,Korea,9.4,63049,"['Han Gi Chan', 'Jang Eui Soo', 'Choi Kyu Ri', 'Chun Jae Young']","Han Tae Joo (Han Gi Chan) is an 18-year-old high school student and is the sole heir of the TB Group – a family-run business conglomerate.

His strict parents keep him under surveillance 24 hours a day, and he feels both bored and oppressed by their reluctance to let him enjoy a little freedom.

His closest friend is also his unofficial bodyguard – another 18-year-old male student named Gang Gook (Jang Eui Soo). Gang Gook is something of a tough guy, with a powerful physique and a no-nonsense attitude.

But as the two young men grow older, they come to wonder if there is perhaps another dimension to their friendship.

When an outgoing female student named Hye Mi (Choi Gyu Ri) is transferred to their high school, she inadvertently drives up the romantic tension between the two childhood friends by going on a date with Gang Gook – irking Han Tae Joo, and stirring up long-suppressed emotions.

Will they act on their desires, or will Han Tae Joo and Gang Gook’s friendship remain platonic?

“Where Your Eyes Linger” is a 2020 Viki Original South Korean drama series that was directed by Hwang Da Seul.",9,https://www.viki.com/tv/37111c
User Not Found,2021,Korea,9.3,20659,"['Bae Jin Young', 'Shin So Hyun', 'Han Ye Ji', 'Ahn Se Min', 'Lee Seung Gyu']","Yoo Min Jae (Shin So Hyun) is a 17-year-old high schooler who has always been an outsider. She longs for popularity and acceptance, but it has always eluded her. When she transfers to a new high school, she is surprised to see on the transfer list a student (Han Ye Ji) with exactly the same name as her. The two girls decide to meet and realize that their fates are opposite: the “other” Yoo Min Jae has always been a popularity “queen,” but due to an unhappy incident with some of her now former classmates, she wants to retreat from the spotlight and lead a much quieter life. The two girls meet and decide to swap identities so they can both start afresh.

The swap initially appears to have gone well. The once-unpopular Yoo Min Jae has been carefully planning her move for some time, carefully studying how to be popular – and successfully infiltrates the “popular group” at school, which includes Shin Yi Joon (Bae Jin Young). He is the most popular student in the whole school, and has a reputation as something of a tough cookie. But as the once-unpopular Yoo Min Jae starts getting to know him, she realizes that he actually has a much more tender personality than she expected. But as the new girls settle into life at their new school, the “other” Yoo Min Jae starts to wonder if her namesake’s motives for the swap are as pure as she suggests…

“User Not Found” is a 2021 South Korean drama series that was produced by Sung Do Kyung.",23,https://www.viki.com/tv/38228c
The Legend of Dugu,2018,China,9.0,5089,"['Jeremy Tsui', 'Hanson Ying', 'Hu Bing Qing', 'Ady An', 'Li Yi Xiao', 'Zhang Dan Feng', 'Zou Ting Wei', 'Lu Xing Yu', 'Huang Zi Xi', 'Howie Huang', 'Su Mao', 'Liu Shuai', 'Show less']","As the chaotic era of the Northern and Southern dynasties comes to a close, a single prophecy sets in motion a chain of events that will change not only the lives of three sisters but history itself...

“He who has Dugu, has the world”.

Daughters of a court official, Dugu Banruo (Ady An), Dugu Mantuo (Li Yi Xiao), and Dugu Jialou (Hu Bing Qing) were always destined for greatness. Blessed with beauty, intelligence, and connections, the Dugu sisters grew up knowing they were the subjects of a prophecy that could someday tear them apart. Determined to remain loyal to each other, they vowed to always put their relationship first. But time has a way of changing things, and vows are easily broken.

Eldest of the Dugu daughters, time saw Banruo grow into a wise and ambitious woman. Craving power above all else, she is willing to do whatever it takes to claim the title of empress, even if it means sacrificing everything she has to get there. Daughter of a concubine, Mantuo, has grown into a woman who craves wealth and power, believing they will let her escape the burden of her lowly birth. Youngest of the Dugu daughters, Jialou grows into a learned, gentle woman who yearns for nothing but peace.

As the struggle for supreme power escalates, all three Dugu sisters find themselves embroiled in a series of political alliances and upheavals that will alter the course of history forever.

""The Legend of Dugu"" is a 2018 historical fiction drama directed by Hou Shu Pei and Lan Zhi Wei.",55,https://www.viki.com/tv/36566c
Duty After School,2023,Korea,9.0,34630,"['Shin Hyun Soo', 'Im Se Mi', 'Kwon Eun Bin (CLC)', 'Kim Min Chul', 'Kim Su Gyeom', 'Moon Sang Min']","The students and teachers at Sungjin High School receive a terrifying shock when they witness the start of an alien invasion. Coming from the skies, horrific “eggs” hatch violent insect-like creatures that attack humans. The invasion is worldwide, and the South Korean military fears it will be overwhelmed. In desperation, the President announces that mandatory conscription will begin – and that all third-year high schoolers – male and female – must join the armed forces.

Soldiers arrive at Sungjin High School. And the third-years – who only have 50 days until they are supposed to sit their university entrance exams – must commence their military training in the school playground. They must learn how to shoot rifles, fight hand-to-hand, and navigate obstacle courses...in their school uniform! Putting the students through their paces will be the platoon leader Lee Choon Ho (Shin Hyun Soo). Meanwhile, the class teacher Park Eun Young (Im Se Mi) is determined to do what she can to keep her students out of harm’s way. Will the high schoolers help save the planet from doom?

This series was based on a web-based comic strip that was written by Ha Il Kwon and published between 2012 and 2013.

“Duty After School” is a 2023 South Korean drama series that was directed by Sung Yong Il.",10,https://www.viki.com/tv/39621c
Single & Ready to Mingle,2020,Korea,9.2,19378,"['Jeong Hyo Jun', 'Choi Yoo Jung (Weki Meki)', 'Kim Do Yeon', 'Kim Min Chul', 'Mun Ji Hu', 'Jenny']","Bong Joo Yi (Choi Yoo Jung) and Ji Yeon Seo (Kim Do Yeon) have been best friends their entire lives. Growing up, they attended the same all-girls middle school, the same all-girls high school, and even attended the same women’s university. Now hard-working young women, determined to make their dreams come true, the two best friends are doing their best. But sometimes making dreams come true isn't easy, especially when it comes to love.

Convinced she and Joo Yi would have a better chance at love, if they were around actual men, Yeon Seo convinces her best friend to move into Sol House, a co-ed share house that three handsome young men, Woo Seung Bong (Jeong Hyo Jun), Kang Joon Woo (Kim Min Chul), and Ma Hoon (Mun Ji Hu), just happen to call home. Agreeing to follow where Yeon Seo leads, the two best friends move in and quickly learn that having men in your life makes everything a bit more… complicated.

With hearts easily swayed by every kind gesture or friendly smile, Joo Yi and Yeon Seo find themselves falling for their new housemates. But not one of the guys seems keen on returning their feelings. Will two best friends, so inexperienced in love, really be able to find their soulmate amidst the chaos of life at Sol House?

A hilarious, idol-filled romp, “Single & Ready to Mingle” is a 2020 romantic comedy drama directed by Kang Hyun Na.",8,https://www.viki.com/tv/37457c
Here We Meet Again,2023,China,9.4,40836,"['Vin Zhang', 'Wu Qian', 'Qin Yan Shi', 'Liu Yu Ting', 'Hao Yi Lin', 'Huang De Yi']","Growing up as the daughter of the Donghe Group, Xiang Yuan (Wu Qian) has always been aware of the fact that she would be forced to shoulder certain responsibilities. So when she is tasked with saving the Xi’an branch of the company from bankruptcy, she accepts the job with grace and determination. 

Prepared though she might have been for the task at hand, Xiang Yuan was completely unprepared to have a run-in with her former crush, Xu Yan Shi (Vin Zhang) soon after her arrival. While in school, Yan Shi’s many charms captured Xiang Yuan’s heart. Sadly, try as she might, she never managed to win his affection in return; which made meeting him all these years later, more than a little awkward. Despite their past, and their awkward new beginning, Xiang Yuan and Yan Shi form an unexpected friendship. 

While Xiang Yuan works hard to save the failing branch of her family’s company, Yan Shi struggles to overcome the injustices he’s constantly facing as he attempts to pursue a career as a navigation engineer. Supporting each other through it all, will Yan Shi and Xiang Yuan find the strength they need to make their dreams come true?

Adapted from the novel “Three Fields” by Er Dong Tu Zi, “Here We Meet Again” is a 2023 Chinese romance drama directed by Tien Jen Huang.",32,https://www.viki.com/tv/39845c
My Dearest,2023,Korea,9.8,31735,"['Namgoong Min', 'Ahn Eun Jin', 'Lee Chung Ah', 'Lee Hak Joo', 'Lee Da In', 'Kim Yoon Woo', 'Ji Seung Hyun', 'Choi Moo Sung']","Jang Hyun is living without purpose or desire. He's a cold-hearted man who loves no one until he gets introduced to love after meeting Gil Chae. She is charming and admired by all, but her first love, Yeon Jun, is already engaged to her best friend, Eun Ae. Yeon Jun, a Sungkyunkwan student, struggles with his feelings for Gil Chae but cannot break off his engagement due to tradition. Eun Ae does not doubt nor hate the two. As Jang Hyun becomes entangled in this unusual love triangle, Gil Chae, who has only loved Yeon Jun, is confused about her own feelings. The relationship between these four gets put into an even bigger twist at the breakout of war. Will they survive the challenges of war and find their love amidst the chaos?",21,https://www.viki.com/tv/40071c
DNA Says Love You,2022,Taiwan,9.3,14281,"['Lin Hui Min', 'Huang Hsin Hao', 'Lin Wei Jie', 'Guo Yu Chen', 'Matt Lee']","Pu Le Jian (Guo Yu Chen) is a young coffee shop staff member, but he dreams of becoming a popular YouTuber. He and one of his close friends make videos about discovering unusual and sometimes spooky places, but their efforts to create riveting content are amateurish and bumbling. Regardless, he refuses to give up, and spends his spare time at the cafe editing his videos.

One day, a young stranger named Amber (Lin Hui Min) comes to the coffee shop claiming to be a photography and film student who has returned from studying in the UK. Amber offers to give Pu Le Jian some pointers and improve the quality of his videos, and the latter happily accepts. Pu Le Jian and Amber begin to spend more time together, but the former can’t seem to shake off the feeling that he knows Amber from somewhere. A sense of mutual attraction begins to build between them, but Amber has secrets. And there are further pressures on the duo from Pu Le Jian’s mother, who keeps nagging him to get married, as well as his long-time friend and female workmate, who seems to have a crush on Pu Le Jian…

“DNA Says Love You” is a 2022 Taiwanese drama series that was directed by Eri Hao.",12,https://www.viki.com/tv/38674c
Professional Single,2020,China,9.4,85700,"['Song Yi Ren', 'Deng Chao Yuan', 'Hong Shan Shan', 'Wang Run Ze', 'He Ze Yuan', 'Cui Li Ya']","Qin Shen (Deng Chao Yuan) is a tall, handsome, young wannabe sculptor. He has decided to attend art school to polish his skills and throws himself into his craft. He strives for perfection and does not want anything – least of all romance – to get in his way.

He has never had a girlfriend, and he prefers to stay away from all matters of the heart. His destiny, it would seem, is to live and die alone.

But at art school, his path crosses with that of another perpetual loner – a budding painter named Yuan Qian (Song Yi Ren).

She is also focused, driven, and intelligent. And Yuan Qian is not as averse to the idea of love as Qin Shen. However, she is so picky that she finds fault in just about everyone she meets – to the extent that it seems no man will ever meet her sky-high standards.

Together with their classmates, this duo begins on a journey of self-discovery as they hone their skills and begin to round out their personalities.

But as time goes by, could Yuan Qian and Qin Shen finally find love – with each other?

“Professional Single” is a 2020 Chinese, university-themed drama series that was directed by Lin Yan.",24,https://www.viki.com/tv/37405c
One the Woman,2021,Korea,9.3,13126,"['Honey Lee', 'Lee Sang Yoon', 'Lee Won Geun', 'Jin Seo Yeon', 'Song Won Seok', 'Jeon Gook Hwan', 'Na Young Hee', 'Kim Chang Wan', 'Ye Soo Jung', 'Kim Won Hae', 'Jung In Ki', 'Jo Dal Hwan', 'Show less']","Yeon Ju is an elite prosecutor who started from the bottom. Although known as the best in corruption investigations for the Supreme Prosecutor\u2019s Office, she suffers amnesia after a car crash when chasing a suspect. As she wakes, she finds herself being Kang Mi Na, the daughter-in-law of the conglomerate Hanju Group. Before her disappearance, Mi Na was a troublemaker born out of wedlock. Now sitting in her position, Yeon Ju is not able to hide her rough and outspoken nature. She then meets Seung Wook, a conglomerate who visits his first love Mi Na to reveal the truth of his father\u2019s death. Will Yeon Ju and Mi Na be able to regain their lost memories in this mystery and succeed in true love?",16,https://www.viki.com/tv/38056c
